experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-walk-no_mpc,spider,walk,no_mpc,no_mpc_bc_reference,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/no_mpc/walk/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/no_mpc/walk/rollout.npz,.,.,.,artifacts#walk-no_mpc,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-walk-g1_wbc_joint,spider,walk,g1_wbc_joint,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_joint/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_joint/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_joint/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/walk_g1_wbc_joint_gpu0.log,artifacts#walk-g1_wbc_joint,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-walk-g1_wbc_joint_global,spider,walk,g1_wbc_joint_global,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_joint_global/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_joint_global/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_joint_global/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/walk_g1_wbc_joint_global_gpu0.log,artifacts#walk-g1_wbc_joint_global,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-walk-g1_wbc_ee,spider,walk,g1_wbc_ee,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_ee/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_ee/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/walk/g1_wbc_ee/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/walk_g1_wbc_ee_gpu0.log,artifacts#walk-g1_wbc_ee,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-jump-no_mpc,spider,jump,no_mpc,no_mpc_bc_reference,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/no_mpc/jump/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/no_mpc/jump/rollout.npz,.,.,.,artifacts#jump-no_mpc,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-jump-g1_wbc_joint,spider,jump,g1_wbc_joint,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/jump_g1_wbc_joint_gpu0.log,artifacts#jump-g1_wbc_joint,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-jump-g1_wbc_joint_global,spider,jump,g1_wbc_joint_global,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint_global/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint_global/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint_global/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/jump_g1_wbc_joint_global_gpu0.log,artifacts#jump-g1_wbc_joint_global,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-jump-g1_wbc_ee,spider,jump,g1_wbc_ee,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_ee/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_ee/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_ee/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/jump_g1_wbc_ee_gpu0.log,artifacts#jump-g1_wbc_ee,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-qixing-no_mpc,spider,qixing,no_mpc,no_mpc_bc_reference,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/no_mpc/qixing/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/no_mpc/qixing/rollout.npz,.,.,.,artifacts#qixing-no_mpc,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-qixing-g1_wbc_joint,spider,qixing,g1_wbc_joint,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_joint/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_joint/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_joint/mpc_command.npz,.,,artifacts#qixing-g1_wbc_joint,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-qixing-g1_wbc_joint_global,spider,qixing,g1_wbc_joint_global,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_joint_global/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_joint_global/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_joint_global/mpc_command.npz,.,g1_wbc_testbed_motion_package_20260617/logs/spider/qixing_g1_wbc_joint_global_gpu0.log,artifacts#qixing-g1_wbc_joint_global,raw artifacts remain outside wbc_results git tracking
2026-06-17-testbed-motion-baselines-xwj,2026-06-17-testbed-motion-baselines-xwj-qixing-g1_wbc_ee,spider,qixing,g1_wbc_ee,spider_knot8_s8192_i2_h80_c20_sig008_018_028_reward_v14,unknown,complete,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_ee/metrics.json,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_ee/rollout.npz,g1_wbc_testbed_motion_package_20260617/outputs/spider/qixing/g1_wbc_ee/mpc_command.npz,.,,artifacts#qixing-g1_wbc_ee,raw artifacts remain outside wbc_results git tracking
