motion_id,category,rank,method,score,success_current,track_status,failure_labels
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,1,sweetpoint,-1.533206362,true,tracked,
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,2,best_s128,-1.73309027,true,tracked,
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,3,no_mpc_baseline,-2.241988736,false,failed,root_orientation_drift
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,1,sweetpoint,-0.8133391559,true,tracked,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,2,best_s128,-0.9810878903,true,tracked,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,3,no_mpc_baseline,-1.23615785,true,tracked,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,1,no_mpc_baseline,-0.7957369406,true,tracked,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,2,best_s128,-0.8092876786,true,tracked,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,3,sweetpoint,-0.9770221336,true,tracked,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,1,sweetpoint,-0.4913447775,true,tracked,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,2,best_s128,-0.5413250888,true,tracked,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,3,no_mpc_baseline,-0.6167784123,true,tracked,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,1,sweetpoint,-0.9133286268,true,tracked,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,2,best_s128,-0.9634129688,true,tracked,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,3,no_mpc_baseline,-1.29323577,true,borderline,borderline
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,1,sweetpoint,-2.041532281,true,tracked,
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,2,best_s128,-2.218256622,true,borderline,borderline
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,3,no_mpc_baseline,-3.136410779,true,failed,root_translation_drift|ee_global_tracking_failure
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,1,sweetpoint,-2.833971733,true,borderline,borderline
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,2,best_s128,-3.129677495,true,failed,ee_global_tracking_failure
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,3,no_mpc_baseline,-7.059187098,false,failed,root_translation_drift|root_orientation_drift|ee_global_tracking_failure
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,1,sweetpoint,-0.5816201001,true,tracked,
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,2,best_s128,-0.6051110908,true,tracked,
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,3,no_mpc_baseline,-0.7689895255,true,tracked,
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,1,best_s128,-0.4813582199,true,tracked,
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,2,sweetpoint,-0.4931583146,true,tracked,
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,3,no_mpc_baseline,-0.5025204798,true,tracked,
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,1,best_s128,-0.4879846986,true,tracked,
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,2,sweetpoint,-0.5007091988,true,tracked,
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,3,no_mpc_baseline,-0.5559405694,true,tracked,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,1,sweetpoint,-0.3834242973,true,tracked,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,2,no_mpc_baseline,-0.3974247813,true,tracked,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,3,best_s128,-0.4022281058,true,tracked,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,1,sweetpoint,-0.7467347596,true,tracked,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,2,best_s128,-0.8071871046,true,tracked,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,3,no_mpc_baseline,-1.0273348,true,tracked,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,1,best_s128,-0.6592364624,true,tracked,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,2,sweetpoint,-0.7398749858,true,tracked,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,3,no_mpc_baseline,-0.8082873195,true,tracked,
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,1,sweetpoint,-0.878122085,true,tracked,
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,2,best_s128,-1.056822599,true,tracked,
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,3,no_mpc_baseline,-1.61351765,true,failed,ee_global_tracking_failure
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,1,sweetpoint,-1.271689888,true,tracked,
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,2,best_s128,-1.359725656,true,tracked,
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,3,no_mpc_baseline,-3.577680707,true,failed,root_translation_drift|ee_global_tracking_failure
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,1,sweetpoint,-2.426356643,true,borderline,borderline
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,2,best_s128,-2.992638919,true,failed,ee_global_tracking_failure
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,3,no_mpc_baseline,-4.584869635,true,failed,root_translation_drift|ee_global_tracking_failure
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,1,sweetpoint,-1.770159497,true,tracked,
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,2,best_s128,-2.150180511,true,tracked,
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,3,no_mpc_baseline,-4.209617716,true,failed,root_translation_drift|ee_global_tracking_failure
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,1,sweetpoint,-0.3965936609,true,tracked,
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,2,best_s128,-0.4155541316,true,tracked,
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,3,no_mpc_baseline,-0.4186787017,true,tracked,
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,1,sweetpoint,-0.8788343539,true,tracked,
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,2,no_mpc_baseline,-0.9322120879,true,tracked,
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,3,best_s128,-0.938898512,true,tracked,
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,1,sweetpoint,-0.5028694887,true,tracked,
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,2,best_s128,-0.5547337448,true,tracked,
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,3,no_mpc_baseline,-0.7707982343,true,tracked,
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,1,best_s128,-2.260725835,true,borderline,borderline
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,2,sweetpoint,-2.275128943,true,borderline,borderline
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,3,no_mpc_baseline,-2.992864713,true,failed,root_translation_drift|ee_global_tracking_failure
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,1,sweetpoint,-2.155087965,true,tracked,
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,2,no_mpc_baseline,-2.332862759,true,tracked,
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,3,best_s128,-3.787796147,true,failed,root_translation_drift|ee_global_tracking_failure
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,1,sweetpoint,-0.6313009985,true,tracked,
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,2,best_s128,-1.007846643,true,tracked,
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,3,no_mpc_baseline,-1.310250769,true,tracked,
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,1,sweetpoint,-0.5140771225,true,tracked,
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,2,best_s128,-0.536804961,true,tracked,
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,3,no_mpc_baseline,-0.5887335256,true,tracked,
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,1,sweetpoint,-0.2989436604,true,tracked,
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,2,best_s128,-0.3104135657,true,tracked,
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,3,no_mpc_baseline,-0.3171019947,true,tracked,
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,1,sweetpoint,-2.613053404,true,borderline,borderline
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,2,best_s128,-3.842092201,true,failed,root_translation_drift|ee_global_tracking_failure
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,3,no_mpc_baseline,-5.811378635,true,failed,root_translation_drift|ee_global_tracking_failure
