motion_id,category,method,log_path,num_steps,num_windows,status
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion/no_mpc_baseline.log,1397,,present
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion/best_s128.log,1397,70,present
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion/sweetpoint.log,1397,70,present
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/jump_hop__sonic_filtered_220705__jump_002_a017/no_mpc_baseline.log,1940,,present
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/jump_hop__sonic_filtered_220705__jump_002_a017/best_s128.log,1940,97,present
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/jump_hop__sonic_filtered_220705__jump_002_a017/sweetpoint.log,1940,97,present
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125/no_mpc_baseline.log,218,,present
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125/best_s128.log,218,11,present
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125/sweetpoint.log,218,11,present
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017/no_mpc_baseline.log,2709,,present
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017/best_s128.log,2709,136,present
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017/sweetpoint.log,2709,136,present
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion/no_mpc_baseline.log,1501,,present
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion/best_s128.log,1501,76,present
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion/sweetpoint.log,1501,76,present
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306/no_mpc_baseline.log,204,,present
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306/best_s128.log,204,11,present
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306/sweetpoint.log,204,11,present
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion/no_mpc_baseline.log,1693,,present
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion/best_s128.log,1693,85,present
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion/sweetpoint.log,1693,85,present
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029/no_mpc_baseline.log,846,,present
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029/best_s128.log,846,43,present
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029/sweetpoint.log,846,43,present
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__sonic_filtered_230103__alone_006_a097/no_mpc_baseline.log,307,,present
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__sonic_filtered_230103__alone_006_a097/best_s128.log,307,16,present
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__sonic_filtered_230103__alone_006_a097/sweetpoint.log,307,16,present
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion/no_mpc_baseline.log,1336,,present
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion/best_s128.log,1336,67,present
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion/sweetpoint.log,1336,67,present
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045/no_mpc_baseline.log,128,,present
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045/best_s128.log,128,7,present
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045/sweetpoint.log,128,7,present
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460/no_mpc_baseline.log,581,,present
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460/best_s128.log,581,30,present
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460/sweetpoint.log,581,30,present
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355/no_mpc_baseline.log,516,,present
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355/best_s128.log,516,26,present
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355/sweetpoint.log,516,26,present
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/no_mpc_baseline.log,1079,,present
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/best_s128.log,1079,54,present
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/sweetpoint.log,1079,54,present
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/no_mpc_baseline.log,515,,present
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/best_s128.log,515,26,present
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/sweetpoint.log,515,26,present
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/no_mpc_baseline.log,169,,present
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/best_s128.log,169,9,present
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/sweetpoint.log,169,9,present
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/sports_play__sonic_filtered_240327__play_tennis_r_002_a533/no_mpc_baseline.log,647,,present
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/sports_play__sonic_filtered_240327__play_tennis_r_002_a533/best_s128.log,647,33,present
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/sports_play__sonic_filtered_240327__play_tennis_r_002_a533/sweetpoint.log,647,33,present
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/music_performance__sonic_filtered_231004__catch_playing_r_003_a456/no_mpc_baseline.log,900,,present
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/music_performance__sonic_filtered_231004__catch_playing_r_003_a456/best_s128.log,900,45,present
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/music_performance__sonic_filtered_231004__catch_playing_r_003_a456/sweetpoint.log,900,45,present
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359/no_mpc_baseline.log,578,,present
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359/best_s128.log,578,29,present
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359/sweetpoint.log,578,29,present
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512/no_mpc_baseline.log,287,,present
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512/best_s128.log,287,15,present
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512/sweetpoint.log,287,15,present
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524/no_mpc_baseline.log,613,,present
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524/best_s128.log,613,31,present
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524/sweetpoint.log,613,31,present
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/acrobatics_parkour__sonic_filtered_230509__burpee_001_a359/no_mpc_baseline.log,630,,present
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/acrobatics_parkour__sonic_filtered_230509__burpee_001_a359/best_s128.log,630,32,present
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/acrobatics_parkour__sonic_filtered_230509__burpee_001_a359/sweetpoint.log,630,32,present
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428/no_mpc_baseline.log,862,,present
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428/best_s128.log,862,44,present
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428/sweetpoint.log,862,44,present
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500/no_mpc_baseline.log,1322,,present
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500/best_s128.log,1322,67,present
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500/sweetpoint.log,1322,67,present
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520/no_mpc_baseline.log,346,,present
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520/best_s128.log,346,18,present
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520/sweetpoint.log,346,18,present
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion/no_mpc_baseline.log,1090,,present
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion/best_s128.log,1090,55,present
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion/sweetpoint.log,1090,55,present
