experiment_id,run_id,source_project,motion,method,checkpoint,config_label,seed,status,success,score,root_pos_error_mean,body_global_pos_error_mean,ee_global_pos_error_mean,global_sum,body_local_pos_error_mean,ee_local_pos_error_mean,local_sum,contact_mismatch_rate,control_delta_mean,joint_acc_mean,duration_sec,artifact_ref,notes,category,track_status,failure_labels,num_steps
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion__no_mpc_baseline,spider,locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,false,-2.24198873565,0.128387600183,0.198902517557,0.231790155172,0.559080272913,0.046947285533,0.0739383026958,0.120885588229,0.114173226058,0.134526088834,51.8301467896,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=failed;failure_labels=root_orientation_drift,locomotion_run_jog_sprint,failed,root_orientation_drift,1397
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion__best_s128,spider,locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-1.73309026957,0.10834659636,0.128967002034,0.13723808527,0.374551683664,0.0470654554665,0.0709814727306,0.118046928197,0.12097351253,0.247769117355,91.7824325562,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,locomotion_run_jog_sprint,tracked,stability_regression,1397
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion__sweetpoint,spider,locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-1.53320636153,0.10043463856,0.11270801723,0.118898704648,0.332041360438,0.0448272004724,0.0664777159691,0.111304916441,0.117036506534,0.204918220639,75.4987564087,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,locomotion_run_jog_sprint,tracked,stability_regression,1397
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__jump_hop__sonic_filtered_220705__jump_002_a017__no_mpc_baseline,spider,jump_hop__sonic_filtered_220705__jump_002_a017,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-1.23615785018,0.137004315853,0.137275144458,0.13497979939,0.409259259701,0.0164023600519,0.0254911947995,0.0418935548514,0.0847938209772,0.127516329288,83.0886154175,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,jump_hop,tracked,,1940
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__jump_hop__sonic_filtered_220705__jump_002_a017__best_s128,spider,jump_hop__sonic_filtered_220705__jump_002_a017,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.981087890267,0.0744231566787,0.0787477195263,0.083486571908,0.236657448113,0.017770929262,0.0275125317276,0.0452834609896,0.093298971653,0.163189187646,91.8321533203,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,jump_hop,tracked,stability_regression,1940
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__jump_hop__sonic_filtered_220705__jump_002_a017__sweetpoint,spider,jump_hop__sonic_filtered_220705__jump_002_a017,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.813339155912,0.0468349531293,0.0515799187124,0.0555909760296,0.154005847871,0.0167947467417,0.0260970368981,0.0428917836398,0.0871134027839,0.152789071202,92.0075759888,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,jump_hop,tracked,stability_regression,1940
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125__no_mpc_baseline,spider,crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.795736940578,0.0162090491503,0.0397801250219,0.0522662587464,0.108255432919,0.0574847832322,0.0860438495874,0.14352863282,0.0275229346007,0.0607243366539,31.6943511963,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,crawl_climb,tracked,,218
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125__best_s128,spider,crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.809287678637,0.0252850856632,0.0397097356617,0.0485937595367,0.113588580862,0.0567124374211,0.0872787833214,0.143991220742,0.0275229346007,0.128559306264,55.0757217407,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=baseline_regression|stability_regression,crawl_climb,tracked,baseline_regression|stability_regression,218
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125__sweetpoint,spider,crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.977022133581,0.028489196673,0.0545392818749,0.0637021139264,0.146730592474,0.0579158179462,0.0874127075076,0.145328525454,0.052752289921,0.139898747206,56.3600540161,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=baseline_regression|stability_regression,crawl_climb,tracked,baseline_regression|stability_regression,218
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017__no_mpc_baseline,spider,turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.616778412275,0.0370298400521,0.0513373836875,0.0598377473652,0.148204971105,0.0179601106793,0.0305725615472,0.0485326722264,0.0225175358355,0.0414672009647,18.6310882568,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,turn_step_balance,tracked,,2709
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017__best_s128,spider,turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.541325088777,0.0308838170022,0.0397205390036,0.0462040193379,0.116808375344,0.0184483639896,0.0308302082121,0.0492785722017,0.0239940937608,0.0731100738049,26.6705951691,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,turn_step_balance,tracked,stability_regression,2709
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017__sweetpoint,spider,turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.491344777495,0.0239249132574,0.0340217202902,0.0401653721929,0.0981120057404,0.0167068243027,0.0278403870761,0.0445472113788,0.0221483949572,0.0605970546603,23.5081996918,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,turn_step_balance,tracked,stability_regression,2709
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion__no_mpc_baseline,spider,idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-1.29323577024,0.0676906704903,0.105799876153,0.115703783929,0.289194330573,0.0314744599164,0.0517481714487,0.0832226313651,0.0726182535291,0.104877702892,48.5520591736,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=borderline;failure_labels=borderline,idle_pose_transition,borderline,borderline,1501
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion__best_s128,spider,idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.963412968814,0.0648028627038,0.0693881288171,0.0693648979068,0.203555889428,0.0309384260327,0.049985229969,0.0809236560017,0.0662891417742,0.17729614675,71.2952041626,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,idle_pose_transition,tracked,stability_regression,1501
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion__sweetpoint,spider,idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.913328626752,0.0525786951184,0.0615798309445,0.0631298199296,0.177288345993,0.0307537540793,0.0494263805449,0.0801801346242,0.0639573633671,0.163190618157,64.7627105713,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,idle_pose_transition,tracked,stability_regression,1501
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306__no_mpc_baseline,spider,dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-3.13641077876,0.264703691006,0.271987557411,0.275503277779,0.812194526196,0.0437910184264,0.0688676461577,0.112658664584,0.299019604921,0.367097377777,218.496276855,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=failed;failure_labels=root_translation_drift|ee_global_tracking_failure,dance,failed,root_translation_drift|ee_global_tracking_failure,204
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306__best_s128,spider,dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-2.21825662181,0.0749790295959,0.085662715137,0.0974089503288,0.258050695062,0.0438667647541,0.0696721524,0.113538917154,0.281862765551,0.476882368326,239.952651978,,artifacts.md#best_s128,metrics_only_no_render;track_status=borderline;failure_labels=borderline|stability_regression,dance,borderline,borderline|stability_regression,204
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306__sweetpoint,spider,dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-2.04153228104,0.0471308976412,0.0602094754577,0.074544005096,0.181884378195,0.0411330610514,0.0649514198303,0.106084480882,0.279411762953,0.396150708199,213.324584961,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,dance,tracked,stability_regression,204
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion__no_mpc_baseline,spider,dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,false,-7.05918709785,0.900312066078,0.940172731876,0.983473300934,2.82395809889,0.0443083830178,0.0715583562851,0.115866739303,0.337566465139,0.336362689734,171.06072998,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=failed;failure_labels=root_translation_drift|root_orientation_drift|ee_global_tracking_failure,dance,failed,root_translation_drift|root_orientation_drift|ee_global_tracking_failure,1693
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion__best_s128,spider,dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-3.12967749536,0.238695666194,0.252089470625,0.262903630733,0.753688767552,0.0493288189173,0.0784041658044,0.127732984722,0.311281770468,0.494982272387,221.886611938,,artifacts.md#best_s128,metrics_only_no_render;track_status=failed;failure_labels=ee_global_tracking_failure|stability_regression,dance,failed,ee_global_tracking_failure|stability_regression,1693
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion__sweetpoint,spider,dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-2.83397173285,0.194375440478,0.207185551524,0.21939958632,0.620960578322,0.0459524765611,0.0731519535184,0.119104430079,0.296515077353,0.435330301523,197.09954834,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=borderline;failure_labels=borderline|stability_regression,dance,borderline,borderline|stability_regression,1693
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029__no_mpc_baseline,spider,exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.768989525549,0.0931338742375,0.0824583470821,0.0701579451561,0.245750166476,0.0364231988788,0.057688832283,0.0941120311618,0.0153664303944,0.0569541715086,23.8522548676,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,exercise_stretch_warmup,tracked,,846
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029__best_s128,spider,exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.605111090839,0.0546094030142,0.0497600436211,0.0429518297315,0.147321276367,0.0359817147255,0.056004460901,0.0919861756265,0.0124113475904,0.0833315476775,32.0083885193,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,exercise_stretch_warmup,tracked,stability_regression,846
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029__sweetpoint,spider,exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.581620100141,0.0454097539186,0.0429668948054,0.0409429445863,0.12931959331,0.0352629125118,0.0549762733281,0.0902391858399,0.010047281161,0.0746232494712,28.5389099121,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,exercise_stretch_warmup,tracked,stability_regression,846
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__sonic_filtered_230103__alone_006_a097__no_mpc_baseline,spider,gesture_emotion_social__sonic_filtered_230103__alone_006_a097,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.502520479821,0.0452088303864,0.0439310260117,0.0392354764044,0.128375332803,0.0380891747773,0.0604879111052,0.0985770858824,0,0.0359140448272,15.0771799088,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,gesture_emotion_social,tracked,,307
